"Time","Value"
2023-09-19 22:00:00,2009
2023-09-19 22:30:00,1926
2023-09-19 23:00:00,1614
2023-09-19 23:30:00,1511
2023-09-20 00:00:00,1433
2023-09-20 00:30:00,437
2023-09-20 01:00:00,477
2023-09-20 01:30:00,474
2023-09-20 02:00:00,459
2023-09-20 02:30:00,1488
2023-09-20 03:00:00,1430
2023-09-20 03:30:00,1379
2023-09-20 04:00:00,1363
2023-09-20 04:30:00,1720
2023-09-20 05:00:00,1668
2023-09-20 05:30:00,2136
2023-09-20 06:00:00,2321
2023-09-20 06:30:00,2713
2023-09-20 07:00:00,3205
2023-09-20 07:30:00,3398
2023-09-20 08:00:00,3401
2023-09-20 08:30:00,3113
2023-09-20 09:00:00,3075
2023-09-20 09:30:00,3260
2023-09-20 10:00:00,3231
2023-09-20 10:30:00,3111
2023-09-20 11:00:00,2863
2023-09-20 11:30:00,2683
2023-09-20 12:00:00,2822
2023-09-20 12:30:00,2998
2023-09-20 13:00:00,2574
2023-09-20 13:30:00,3255
2023-09-20 14:00:00,3191
2023-09-20 14:30:00,2813
2023-09-20 15:00:00,2970
2023-09-20 15:30:00,3081
2023-09-20 16:00:00,2985
2023-09-20 16:30:00,3370
2023-09-20 17:00:00,3056
2023-09-20 17:30:00,3201
2023-09-20 18:00:00,3064
2023-09-20 18:30:00,3002
2023-09-20 19:00:00,2643
2023-09-20 19:30:00,2408
2023-09-20 20:00:00,2059
2023-09-20 20:30:00,2214
2023-09-20 21:00:00,1945
2023-09-20 21:30:00,1922
2023-09-20 22:00:00,2000

